year,origin,destination,submissions
2016,Iraq,France,15
2016,Myanmar,Rep. of Korea,43
2016,Sudan,UK,222
2016,Iran (Islamic Rep. of),New Zealand,11
2016,Somalia,New Zealand,96
2016,Syrian Arab Rep.,Germany,2205
2016,Eritrea,USA,2641
2016,Syrian Arab Rep.,Luxembourg,164
2016,Syrian Arab Rep.,Sweden,1012
2016,Iraq,UK,371
2016,Bhutan,Australia,412
2016,Iraq,USA,10769
2016,Myanmar,Australia,1223
2016,Sudan,Denmark,12
2016,Iraq,Ireland,11
2016,Afghanistan,Denmark,1
2016,Sudan,Sweden,24
2016,Iraq,New Zealand,19
2016,Sudan,Norway,8
2016,Syrian Arab Rep.,Iceland,61
2016,Dem. Rep. of the Congo,Canada,797
2016,Syrian Arab Rep.,Latvia,53
2016,Syrian Arab Rep.,USA,34469
2016,Iraq,Italy,8
2016,Bhutan,Canada,38
2016,Somalia,Canada,51
2016,Myanmar,Norway,3
2016,Somalia,Denmark,11
2016,Myanmar,USA,8200
2016,Sudan,France,6
2016,Iraq,Netherlands,32
2016,Afghanistan,UK,25
2016,Sudan,USA,5074
2016,Myanmar,Canada,39
2016,Eritrea,France,106
2016,Syrian Arab Rep.,Ireland,314
2016,Eritrea,Canada,366
2016,Syrian Arab Rep.,Malta,6
2016,Iran (Islamic Rep. of),France,8
2016,Iraq,Sweden,109
2016,Bhutan,Norway,4
2016,Somalia,UK,255
2016,Afghanistan,Australia,768
2016,Iran (Islamic Rep. of),USA,1847
2016,Iraq,Switzerland,187
2016,Syrian Arab Rep.,Bulgaria,41
2016,Syrian Arab Rep.,Australia,431
2016,Myanmar,New Zealand,512
2016,Eritrea,Sweden,194
2016,Syrian Arab Rep.,Monaco,4
2016,Somalia,USA,10002
2016,Syrian Arab Rep.,Portugal,46
2016,Dem. Rep. of the Congo,Australia,309
2016,Syrian Arab Rep.,Austria,229
2016,Bhutan,New Zealand,24
2016,Bhutan,USA,4929
2016,Somalia,Norway,14
2016,Afghanistan,Norway,9
2016,Dem. Rep. of the Congo,France,31
2016,Sudan,New Zealand,8
2016,Syrian Arab Rep.,Estonia,66
2016,Syrian Arab Rep.,Canada,16892
2016,Myanmar,Sweden,9
2016,Syrian Arab Rep.,Spain,711
2016,Eritrea,Australia,207
2016,Somalia,Australia,73
2016,Syrian Arab Rep.,Romania,15
2016,Dem. Rep. of the Congo,UK,234
2016,Syrian Arab Rep.,Italy,1094
2017,Iran (Islamic Rep. of),Germany,4
2017,Iraq,Norway,8
2017,Eritrea,Sweden,655
2017,Afghanistan,Australia,826
2017,Syrian Arab Rep.,Ireland,303
2017,Iran (Islamic Rep. of),Canada,64
2017,Somalia,France,125
2017,Syrian Arab Rep.,Estonia,143
2017,Dem. Rep. of the Congo,Australia,1306
2017,Myanmar,Sweden,5
2017,Iran (Islamic Rep. of),France,1
2017,Afghanistan,UK,96
2017,Myanmar,Japan,39
2017,Dem. Rep. of the Congo,France,27
2017,Syrian Arab Rep.,Latvia,65
2017,Eritrea,Italy,270
2017,Sudan,Norway,19
2017,Somalia,Germany,8
2017,Somalia,UK,267
2017,Afghanistan,USA,840
2017,Eritrea,Canada,529
2017,Syrian Arab Rep.,Chile,95
2017,Iraq,Canada,401
2017,Afghanistan,New Zealand,28
